song_title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
only the good die young,Billy Joel,spotify:track:4gehZ6WYqLOXZpmMEq3Em9,0.519,0.875,0,-6.4879999999999995,1,0.132,0.223,0.0,0.0915,0.7659999999999999,152.092,0
the entertainer,Billy Joel,spotify:track:60m29Z8TtocKOqDlQEbwUS,0.611,0.912,0,-6.775,1,0.0398,0.105,0.0,0.11699999999999999,0.77,101.307,0
the longest time,Billy Joel,spotify:track:5DH7nDryMhpixm4G4B7RP9,0.637,0.33299999999999996,3,-9.603,1,0.0262,0.18100000000000002,0.0,0.147,0.588,84.34700000000001,1
we didn't start the fire,Billy Joel,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,0.7120000000000001,0.9670000000000001,7,-5.206,1,0.047,0.0771,0.0,0.35600000000000004,0.895,145.024,0
saturday night,Bay City Rollers,spotify:track:78zYiMv9yNTHgmm6kaUPCm,0.514,0.6809999999999999,7,-10.026,1,0.065,0.19899999999999998,0.0356,0.0745,0.9129999999999999,136.821,0
don't go breaking my heart,Elton John,spotify:track:7cKUyLDvGKMd12ovtOU0z5,0.725,0.838,5,-9.062999999999999,1,0.0355,0.18,2.36e-06,0.11199999999999999,0.746,131.47799999999998,0
play that funky music,Wild Cherry,spotify:track:0D7L4pBEGv8ni1cRfaTdMJ,0.8220000000000001,0.87,9,-6.257000000000001,1,0.0592,0.124,0.0,0.045,0.9009999999999999,109.17399999999999,0
your heroes are dead,Project 86,spotify:track:2Jer3BnbQIcIFsVDg6wbkA,0.504,0.797,10,-4.305,1,0.0493,0.000105,0.14800000000000002,0.0393,0.654,97.54700000000001,0
dreamer,Ozzy Osbourne,spotify:track:78PKCefXwDLbl4FVO1Pjzh,0.493,0.636,1,-7.4079999999999995,1,0.0256,0.0629,2.49e-06,0.0921,0.27899999999999997,79.419,1
one (is the loneliest number),The Tao Of Groove,spotify:track:3I9LiI3us93jBM5o1yheUk,0.789,0.494,4,-9.496,0,0.0324,0.40700000000000003,0.8079999999999999,0.226,0.7809999999999999,120.025,2
the first cut is the deepest - acoustic version,Sheryl Crow,spotify:track:4PzPvpE63ttEbKyMDRWB6q,0.638,0.336,2,-7.52,1,0.0248,0.759,0.0,0.0728,0.5670000000000001,78.86,1
bye bye beautiful,Nightwish,spotify:track:2eH4Gr5hftdzWsVPG5dild,0.488,0.88,9,-5.1579999999999995,1,0.045,0.000121,0.0007830000000000001,0.10300000000000001,0.389,148.05100000000002,0
amaranth,Nightwish,spotify:track:0cYduKz7njWaJ73PGn6OGW,0.5529999999999999,0.8740000000000001,2,-3.685,0,0.0401,0.0038799999999999998,0.0018399999999999998,0.10400000000000001,0.319,127.961,0
eva,Nightwish,spotify:track:0lnVq02DwGozJDsFrri7Ei,0.42,0.377,6,-7.202999999999999,0,0.0264,0.33899999999999997,0.000123,0.166,0.0969,103.98899999999999,1
meadows of heaven,Nightwish,spotify:track:0m6WZpB4ky6Mrx4NGkwQL7,0.369,0.433,7,-6.67,0,0.0331,0.04,0.000517,0.109,0.069,119.984,1
wish i had an angel,Nightwish,spotify:track:68VaQ8E7fhveKNkEIdD7Q9,0.424,0.9440000000000001,4,-6.031000000000001,0,0.0576,9.82e-06,0.065,0.345,0.502,158.997,0
rio - us edit,Duran Duran,spotify:track:68x0eW1iIqXU0exrafu8Ti,0.563,0.8690000000000001,9,-8.163,1,0.052000000000000005,0.0235,1.1400000000000001e-05,0.2,0.716,140.58700000000002,0
just give me a reason (feat. nate ruess),P!nk,spotify:track:4VC5nFbYO4avKksJ9jN4pY,0.778,0.547,2,-7.273,1,0.0489,0.34600000000000003,0.000302,0.132,0.441,95.00200000000001,1
blow me (one last kiss),P!nk,spotify:track:0ald9Hqm3CG03WWHUOgFoo,0.5870000000000001,0.924,7,-2.918,1,0.040999999999999995,0.000133,0.0,0.285,0.746,113.99799999999999,0
baby got back,Sir Mix-A-Lot,spotify:track:4vvOv6MDFFPpEb1gwwb2ZD,0.937,0.654,8,-11.187000000000001,1,0.322,0.00533,1.26e-06,0.0542,0.607,128.46200000000002,0
numb,Linkin Park,spotify:track:2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.1530000000000005,1,0.0381,0.0046,0.0,0.639,0.243,110.01799999999999,0
stronger (what doesn't kill you),Kelly Clarkson,spotify:track:6D60klaHqbCl9ySc8VcRss,0.562,0.9390000000000001,0,-4.282,1,0.0475,0.046,0.0,0.11199999999999999,0.684,116.044,0
diamonds,Rihanna,spotify:track:7Kt59L2ZZGtOnIhvMwzG6f,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.39299999999999996,91.97200000000001,0
bad romance,Lady Gaga,spotify:track:1CZOrmHUUjeDP7N2B4Ba6S,0.696,0.9209999999999999,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.7140000000000001,119.001,0
