title,artist
"Tum Tum (From ""Enemy - Tamil"")","Thaman S., Sri Vardhini, Aditi Bhavaraju, Satya Yamini, Roshini JKV & Tejaswini"
"Naatu Naatu (From ""RRR"")","Rahul Sipligunj, Kaala Bhairava & M.M. Keeravani"
Doctor Theme (Background Score),Anirudh Ravichander
Snehithane X In My Bed (Remix),Shubham Rangra & Subhash Chand
"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")","Jubin Nautiyal, Neeti Mohan, Rochak Kohli & Nusrat Fateh Ali Khan"
Krishna Krish Flute,Lakhinandan Lahon & Instrumental
First Kiss,Justin Prabhakaran
We Rollin,Shubh
Chitta,Manan Bhardwaj
The Good Part,AJR
"Manniley Eeramundu (From ""Jai Bhim"")","Sean Roldan, Vaikom Vijayalakshmi & Yugabharathi"
Я буду ебать (feat. IHI),Moreart
Everyday Normal Guy 2,Jon Lajoie
"Valimai Motion Poster Theme (From ""Valimai"")",Yuvan Shankar Raja
"Mere Yaaraa (From ""Sooryavanshi"")","Arijit Singh, Neeti Mohan, Kaushik, Guddu & Akash"
Meri Zindagi Hai Tu,Jubin Nautiyal & Neeti Mohan
Distance Love,Grewal & Pathania Zehr Vibe
"Leharaayi (From ""Most Eligible Bachelor"")",Sid Sriram & Gopi Sundar
Love Nwantiti (feat. MCqasim) [German Remix],CKay
Khalnayak,Kulbir Jhinjer
Parshawan,Harnoor
LA FAMA (feat. The Weeknd),ROSALÍA
Parshawan (Lofi Remix),WORMONO
"Kamli (From ""Hum Do Hamare Do"")","Sachin-Jigar, Jubin Nautiyal & Divya Kumar"
Cheri Cheri Lady (New Version),Modern Talking
Raataan Lambiyan (Lofi Flip),"VIBIE, Jubin Nautiyal, Asees Kaur & Tanishk Bagchi"
I Me Mine (2021 Mix),The Beatles
The Motto,Tiësto & Ava Max
KINGDOM COME,THE BOYZ
The Long and Winding Road (2021 Mix),The Beatles
Raama Pahi,Bombay S. Jayashri
Mahol,Arjan Dhillon
Sangdi Sangdi,Arjan Dhillon
Shama Paiya,Arjan Dhillon
Fire Fur,Arjan Dhillon
Pyaar Karte Ho Na,"Javed-Mohsin, Stebin Ben & Shreya Ghoshal"
Sai Narayana,Salim Sulaiman & Raj Pandit
Tera Dur Ae Canada Sade Pind To,Brave Malhi
MAKE U DANCE (feat. EUNHA),ADORA
When Friday Comes,KOLIDESCOPES
Breathe Deeper (Lil Yachty Remix),Tame Impala & Lil Yachty
Time Without End,Spectacles Wallet and Watch
Pyara Sa Nanha Munna,Amaresh Dey
Reaching Out (feat. Bow Anderson),Dillon Francis
0X1=LOVESONG (I Know I Love You) [Emocore Mix] [feat. Seori],TOMORROW X TOGETHER
Aaoge Jab,V Jackk
Dreaming (feat. SMBDY),David Solomon
Victory,Tokio Myers & KODO
Mosquito Bay,214
Reykjavik,Liebknecht
Mile Marker 84 (feat. ALONZO),Machine Funk Is Our Game Volume 4
Seven Cities,Daal Band
When You're Out (feat. Mae Muller),Billen Ted
Nano Technology,The Hacker
Feels Like Love,Syn Cole & MIYA MIYA
Hammervand,Splash Pattern
Balance,Mr. Bow
Big L + Jay-Z Freestyle,"Stretch and Bobbito, Big L & JAY-Z"
Incantation,Trichome
